date_key,full_date,year,quarter,month_num,month_name,week_number,day_of_month,day_name,is_weekend,season
20240101,2024-01-01,2024,1,1,January,1,1,Monday,0,Winter
20240102,2024-01-02,2024,1,1,January,1,2,Tuesday,0,Winter
20240103,2024-01-03,2024,1,1,January,1,3,Wednesday,0,Winter
20240104,2024-01-04,2024,1,1,January,1,4,Thursday,0,Winter
20240105,2024-01-05,2024,1,1,January,1,5,Friday,0,Winter
20240106,2024-01-06,2024,1,1,January,1,6,Saturday,1,Winter
20240107,2024-01-07,2024,1,1,January,1,7,Sunday,1,Winter
20240108,2024-01-08,2024,1,1,January,2,8,Monday,0,Winter
20240109,2024-01-09,2024,1,1,January,2,9,Tuesday,0,Winter
20240110,2024-01-10,2024,1,1,January,2,10,Wednesday,0,Winter
20240111,2024-01-11,2024,1,1,January,2,11,Thursday,0,Winter
20240112,2024-01-12,2024,1,1,January,2,12,Friday,0,Winter
20240113,2024-01-13,2024,1,1,January,2,13,Saturday,1,Winter
20240114,2024-01-14,2024,1,1,January,2,14,Sunday,1,Winter
20240115,2024-01-15,2024,1,1,January,3,15,Monday,0,Winter
20240116,2024-01-16,2024,1,1,January,3,16,Tuesday,0,Winter
20240117,2024-01-17,2024,1,1,January,3,17,Wednesday,0,Winter
20240118,2024-01-18,2024,1,1,January,3,18,Thursday,0,Winter
20240119,2024-01-19,2024,1,1,January,3,19,Friday,0,Winter
20240120,2024-01-20,2024,1,1,January,3,20,Saturday,1,Winter
20240121,2024-01-21,2024,1,1,January,3,21,Sunday,1,Winter
20240122,2024-01-22,2024,1,1,January,4,22,Monday,0,Winter
20240123,2024-01-23,2024,1,1,January,4,23,Tuesday,0,Winter
20240124,2024-01-24,2024,1,1,January,4,24,Wednesday,0,Winter
20240125,2024-01-25,2024,1,1,January,4,25,Thursday,0,Winter
20240126,2024-01-26,2024,1,1,January,4,26,Friday,0,Winter
20240127,2024-01-27,2024,1,1,January,4,27,Saturday,1,Winter
20240128,2024-01-28,2024,1,1,January,4,28,Sunday,1,Winter
20240129,2024-01-29,2024,1,1,January,5,29,Monday,0,Winter
20240130,2024-01-30,2024,1,1,January,5,30,Tuesday,0,Winter
20240131,2024-01-31,2024,1,1,January,5,31,Wednesday,0,Winter
20240201,2024-02-01,2024,1,2,February,5,1,Thursday,0,Winter
20240202,2024-02-02,2024,1,2,February,5,2,Friday,0,Winter
20240203,2024-02-03,2024,1,2,February,5,3,Saturday,1,Winter
20240204,2024-02-04,2024,1,2,February,5,4,Sunday,1,Winter
20240205,2024-02-05,2024,1,2,February,6,5,Monday,0,Winter
20240206,2024-02-06,2024,1,2,February,6,6,Tuesday,0,Winter
20240207,2024-02-07,2024,1,2,February,6,7,Wednesday,0,Winter
20240208,2024-02-08,2024,1,2,February,6,8,Thursday,0,Winter
20240209,2024-02-09,2024,1,2,February,6,9,Friday,0,Winter
20240210,2024-02-10,2024,1,2,February,6,10,Saturday,1,Winter
20240211,2024-02-11,2024,1,2,February,6,11,Sunday,1,Winter
20240212,2024-02-12,2024,1,2,February,7,12,Monday,0,Winter
20240213,2024-02-13,2024,1,2,February,7,13,Tuesday,0,Winter
20240214,2024-02-14,2024,1,2,February,7,14,Wednesday,0,Winter
20240215,2024-02-15,2024,1,2,February,7,15,Thursday,0,Winter
20240216,2024-02-16,2024,1,2,February,7,16,Friday,0,Winter
20240217,2024-02-17,2024,1,2,February,7,17,Saturday,1,Winter
20240218,2024-02-18,2024,1,2,February,7,18,Sunday,1,Winter
20240219,2024-02-19,2024,1,2,February,8,19,Monday,0,Winter
20240220,2024-02-20,2024,1,2,February,8,20,Tuesday,0,Winter
20240221,2024-02-21,2024,1,2,February,8,21,Wednesday,0,Winter
20240222,2024-02-22,2024,1,2,February,8,22,Thursday,0,Winter
20240223,2024-02-23,2024,1,2,February,8,23,Friday,0,Winter
20240224,2024-02-24,2024,1,2,February,8,24,Saturday,1,Winter
20240225,2024-02-25,2024,1,2,February,8,25,Sunday,1,Winter
20240226,2024-02-26,2024,1,2,February,9,26,Monday,0,Winter
20240227,2024-02-27,2024,1,2,February,9,27,Tuesday,0,Winter
20240228,2024-02-28,2024,1,2,February,9,28,Wednesday,0,Winter
20240229,2024-02-29,2024,1,2,February,9,29,Thursday,0,Winter
20240301,2024-03-01,2024,1,3,March,9,1,Friday,0,Spring
20240302,2024-03-02,2024,1,3,March,9,2,Saturday,1,Spring
20240303,2024-03-03,2024,1,3,March,9,3,Sunday,1,Spring
20240304,2024-03-04,2024,1,3,March,10,4,Monday,0,Spring
20240305,2024-03-05,2024,1,3,March,10,5,Tuesday,0,Spring
20240306,2024-03-06,2024,1,3,March,10,6,Wednesday,0,Spring
20240307,2024-03-07,2024,1,3,March,10,7,Thursday,0,Spring
20240308,2024-03-08,2024,1,3,March,10,8,Friday,0,Spring
20240309,2024-03-09,2024,1,3,March,10,9,Saturday,1,Spring
20240310,2024-03-10,2024,1,3,March,10,10,Sunday,1,Spring
20240311,2024-03-11,2024,1,3,March,11,11,Monday,0,Spring
20240312,2024-03-12,2024,1,3,March,11,12,Tuesday,0,Spring
20240313,2024-03-13,2024,1,3,March,11,13,Wednesday,0,Spring
20240314,2024-03-14,2024,1,3,March,11,14,Thursday,0,Spring
20240315,2024-03-15,2024,1,3,March,11,15,Friday,0,Spring
20240316,2024-03-16,2024,1,3,March,11,16,Saturday,1,Spring
20240317,2024-03-17,2024,1,3,March,11,17,Sunday,1,Spring
20240318,2024-03-18,2024,1,3,March,12,18,Monday,0,Spring
20240319,2024-03-19,2024,1,3,March,12,19,Tuesday,0,Spring
20240320,2024-03-20,2024,1,3,March,12,20,Wednesday,0,Spring
20240321,2024-03-21,2024,1,3,March,12,21,Thursday,0,Spring
20240322,2024-03-22,2024,1,3,March,12,22,Friday,0,Spring
20240323,2024-03-23,2024,1,3,March,12,23,Saturday,1,Spring
20240324,2024-03-24,2024,1,3,March,12,24,Sunday,1,Spring
20240325,2024-03-25,2024,1,3,March,13,25,Monday,0,Spring
20240326,2024-03-26,2024,1,3,March,13,26,Tuesday,0,Spring
20240327,2024-03-27,2024,1,3,March,13,27,Wednesday,0,Spring
20240328,2024-03-28,2024,1,3,March,13,28,Thursday,0,Spring
20240329,2024-03-29,2024,1,3,March,13,29,Friday,0,Spring
20240330,2024-03-30,2024,1,3,March,13,30,Saturday,1,Spring
20240331,2024-03-31,2024,1,3,March,13,31,Sunday,1,Spring
20240401,2024-04-01,2024,2,4,April,14,1,Monday,0,Spring
20240402,2024-04-02,2024,2,4,April,14,2,Tuesday,0,Spring
20240403,2024-04-03,2024,2,4,April,14,3,Wednesday,0,Spring
20240404,2024-04-04,2024,2,4,April,14,4,Thursday,0,Spring
20240405,2024-04-05,2024,2,4,April,14,5,Friday,0,Spring
20240406,2024-04-06,2024,2,4,April,14,6,Saturday,1,Spring
20240407,2024-04-07,2024,2,4,April,14,7,Sunday,1,Spring
20240408,2024-04-08,2024,2,4,April,15,8,Monday,0,Spring
20240409,2024-04-09,2024,2,4,April,15,9,Tuesday,0,Spring
20240410,2024-04-10,2024,2,4,April,15,10,Wednesday,0,Spring
20240411,2024-04-11,2024,2,4,April,15,11,Thursday,0,Spring
