hotel_key,hotel_type,city
1,Resort Hotel,Chandigarh
2,Resort Hotel,Mumbai
3,Resort Hotel,Delhi
4,Resort Hotel,Kolkata
5,Resort Hotel,Lucknow
6,Resort Hotel,Indore
7,Resort Hotel,Ahmedabad
8,Resort Hotel,Pune
9,Resort Hotel,Chennai
10,Resort Hotel,Bhopal
11,Resort Hotel,Hyderabad
12,Resort Hotel,Kochi
13,Resort Hotel,Bangalore
14,Resort Hotel,Jaipur
15,Resort Hotel,Goa
16,City Hotel,Ahmedabad
17,City Hotel,Indore
18,City Hotel,Jaipur
19,City Hotel,Pune
20,City Hotel,Hyderabad
21,City Hotel,Bhopal
22,City Hotel,Kolkata
23,City Hotel,Mumbai
24,City Hotel,Bangalore
25,City Hotel,Lucknow
26,City Hotel,Chennai
27,City Hotel,Chandigarh
28,City Hotel,Delhi
29,City Hotel,Kochi
30,City Hotel,Goa
