booking_id,date_key,hotel_key,market_segment_key,channel_key,customer_type_key,deposit_type_key,is_canceled,reservation_status,lead_time,lead_time_bucket,total_nights,total_guests,adults,children,babies,adr,est_revenue,is_comp_rate,is_adr_outlier,is_zero_night,is_zero_adult,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,total_of_special_requests,days_in_waiting_list,required_car_parking_spaces,reserved_room_type,assigned_room_type,meal,agent,country
1,20240727,1,1,1,1,1,0,Check-Out,342,90+ days,0,2,2,0,0,0.0,0.0,1,0,1,0,0,0,0,3,0,0,0,C,C,BB,0,PRT
2,20240428,2,1,1,1,1,0,Check-Out,737,90+ days,0,2,2,0,0,0.0,0.0,1,0,1,0,0,0,0,4,0,0,0,C,C,BB,0,PRT
3,20240910,3,1,1,1,1,0,Check-Out,7,0-7 days,1,1,1,0,0,75.0,75.0,0,0,0,0,0,0,0,0,0,0,0,A,C,BB,0,GBR
4,20240814,4,2,2,1,1,0,Check-Out,13,8-30 days,1,1,1,0,0,75.0,75.0,0,0,0,0,0,0,0,0,0,0,0,A,A,BB,304,GBR
5,20240914,5,3,3,1,1,0,Check-Out,14,8-30 days,2,2,2,0,0,98.0,196.0,0,0,0,0,0,0,0,0,1,0,0,A,A,BB,240,GBR
6,20241023,3,3,3,1,1,0,Check-Out,14,8-30 days,2,2,2,0,0,98.0,196.0,0,0,0,0,0,0,0,0,1,0,0,A,A,BB,240,GBR
7,20240107,6,1,1,1,1,0,Check-Out,0,0-7 days,2,2,2,0,0,107.0,214.0,0,0,0,0,0,0,0,0,0,0,0,C,C,BB,0,PRT
8,20240808,7,1,1,1,1,0,Check-Out,9,8-30 days,2,2,2,0,0,103.0,206.0,0,0,0,0,0,0,0,0,1,0,0,C,C,FB,303,PRT
9,20240825,3,3,3,1,1,1,Canceled,85,31-90 days,3,2,2,0,0,82.0,246.0,0,0,0,0,0,0,0,0,1,0,0,A,A,BB,240,PRT
10,20241218,8,4,3,1,1,1,Canceled,75,31-90 days,3,2,2,0,0,105.5,316.5,0,0,0,0,0,0,0,0,0,0,0,D,D,HB,15,PRT
11,20240824,9,3,3,1,1,1,Canceled,23,8-30 days,4,2,2,0,0,123.0,492.0,0,0,0,0,0,0,0,0,0,0,0,E,E,BB,240,PRT
